,Mass_%_Recovered,Temperature,Average,Standard_Deviation,Acronym
7,60,357.2,339.5,17.1,PLS
8,70,427.7,406.3,20.7,PLS
9,80,513.1,484.1,30.0,PLS
10,90,645.2,597.2,46.3,PLS
11,95,,651.1,29.2,PLS
12,99,,,,PLS
0,IBP,34.5,13.8,22.5,MSW
1,5,41.2,42.8,12.5,MSW
2,10,60.7,81.4,11.7,MSW
3,20,122.1,125.2,11.5,MSW
4,30,173.4,175.2,15.9,MSW
5,40,229.4,232.5,16.5,MSW
6,50,283.3,288.5,16.1,MSW
7,60,335.6,345.1,17.1,MSW
8,70,394.3,407.7,18.3,MSW
9,80,459.9,479.6,23.7,MSW
10,90,557.3,586.4,36.2,MSW
11,95,639.3,655.1,35.2,MSW
12,99,,684.6,13.8,MSW
0,IBP,34.5,33.7,1.1,RA
1,5,43.5,53.2,13.0,RA
2,10,64.1,91.6,11.3,RA
3,20,138.9,142.1,10.7,RA
4,30,185.2,189.0,11.1,RA
5,40,234.6,240.8,12.4,RA
6,50,291.5,295.9,11.5,RA
7,60,348.3,352.3,12.1,RA
8,70,411.9,415.9,12.2,RA
9,80,480.7,487.9,16.6,RA
10,90,585.7,599.5,32.4,RA
11,95,679.8,669.2,36.7,RA
12,99,,696.3,8.5,RA
0,IBP,33.4,33.7,1.2,FD
1,5,41.7,61.5,11.1,FD
2,10,98.7,93.7,7.5,FD
3,20,130.2,137.2,10.8,FD
4,30,173.1,179.1,12.3,FD
5,40,220.4,226.3,14.5,FD
6,50,270.9,279.4,13.8,FD
7,60,323.7,333.8,12.9,FD
8,70,380.7,395.8,14.0,FD
9,80,441.9,464.8,19.1,FD
10,90,543.3,565.9,26.2,FD
11,95,620.7,650.6,32.4,FD
12,99,,,,FD
0,IBP,34.9,33.4,1.4,MSY
1,5,99.6,56.5,18.6,MSY
2,10,115.7,100.4,13.1,MSY
3,20,175.9,161.8,11.3,MSY
4,30,235.0,222.0,10.2,MSY
5,40,287.5,277.5,9.4,MSY
6,50,337.7,330.0,9.4,MSY
7,60,393.9,387.3,10.1,MSY
8,70,451.6,446.8,11.7,MSY
9,80,523.4,522.8,14.6,MSY
10,90,627.4,632.5,24.7,MSY
11,95,710.9,694.9,17.3,MSY
12,99,,,,MSY
0,IBP,34.6,33.7,1.6,MPR
1,5,39.5,52.4,12.9,MPR
2,10,94.8,88.0,10.5,MPR
